No,NAMOBJ,Penemuan,JumlahBalita,NTL,AOD,PM10,CO,SO2,NO2,NDVI,NDWI,CurahHujanSum,Kemiskinan,Kepadatan,Sanitasi,AirMinum,GiziKurang,IMD,PuskesJml,RasioPuskesmas,RokokPerkapita,VitA,VitA_P,Latitude,Longitude,LatitudeOSM,LongitudeOSM,Imunisasi_P,BBLR_P,RLSPr,AirMinumLayak,Variabel Signifikan
1,Kota Tangerang,5825,236301,24.2596734235829,0.322723032714412,38.3477696905393,0.0391237760279134,0.000067,0.000147,0.249735713002297,-0.205667843855575,1584.62875834709,5.89,10937,94.95,97.12,3228,59.67,39,16.5043736590196,12.531,90040,0,-6.1783,106.6319,-6.1783,106.6319,69.22,6.7,10.53,97.12,X4
2,Kota Cilegon,1130,45824,14.4972723556606,0.256462025316455,31.1968817721518,0.0352673392613411,0.000203,0.000137,0.425634558955596,-0.338638624460359,2047.17674051757,3.98,2772,96.23,99.18,677,65.45,9,19.6403631284916,19.05,29916,0,-6.017,106.0405,-6.0125,106.05,63.33,6.03,10.05,99.18,X4
3,Kota Tangerang Selatan,3505,91095,22.2988667703673,0.313,37.29846,0.0383192124715257,0.000085,0.00016,0.325522992393017,-0.292546692191521,1977.30213042506,2.57,8441,99.29,97.91,942,66.09,35,38.4214281793732,12.047,98451,0,-6.2889,106.7181,-6.2884,106.7214,48.21,19.39,11.28,97.91,X4
4,Kota Serang,2355,62722,6.1876079797924,0.292334031657355,35.0681886964618,0.0352547295395322,0.000118,0.000102,0.45429708006162,-0.398157846152026,1631.71581880048,6.2,2723,92.36,96.72,2171,72.72,16,25.509390644431,19.068,11474,0,-6.1201,106.1503,-6.1139,106.15,32.24,14.58,8.5,96.72,X4
5,Tangerang,11404,3273321,9.11272475147312,0.313338503692278,37.3349913184706,0.0378990734286196,0.000093,0.000117,0.368724837724567,-0.325300271745818,1743.07296528576,6.93,3272,87.75,97.02,4933,70.76,44,1.34420058405515,16.957,173441,0,-6.1783,106.6319,-6.2415,106.4382,48.34,16.26,8.56,97.02,X4
6,Lebak,2425,132050,0.777086232431746,0.213625072287763,26.5739178012954,0.0312447332892037,0.000077,0.000066,0.704946670486015,-0.566284811495559,2797.01070452014,8.68,433,68.83,75.64,2794,65.93,43,32.5634229458538,24.402,88656,0,-6.5644,106.2522,-6.5614,106.2539,47.65,21.76,6.26,75.64,X4
7,Pandeglang,1626,127777,0.722302190595615,0.182579314581768,23.2234596296644,0.0322748251478136,0.000083,0.000056,0.69110983387537,-0.588776722949075,2628.37784659101,9.27,474,62.08,78.11,2883,59.68,36,28.1740845379059,24.056,79330,0,-6.3148,106.1039,-6.3101,106.104,33.96,15.96,6.68,78.11,X4
8,Serang,5377,143224,2.88704540605582,0.271436298460752,32.8129053298844,0.0347950092482254,0.000127,0.000101,0.529333990958627,-0.434589428821245,2053.4906372061,4.85,1144,84.07,94.62,6199,65.39,31,21.6444171367927,23.919,96159,0,-6.1201,106.1503,-6.1439,106.2994,44.79,14.15,7.41,94.62,X4
9,Kota Adm. Jakarta Pusat,2544,64124,48.2471483065879,0.304,36.32718,0.0386495379238784,0.000067,0.000177,0.192727579643801,-0.141117180657946,1317.89024258345,4.68,22061,93.09,67.25,620,96.33,8,12.475828083089,11.172,28759,89.5,-6.2115,106.8452,-6.1751,106.8272,99.1,1.63,11.31,99.92,X4
10,Kota Adm. Jakarta Utara,4965,122833,31.012810299726,0.297703594527363,35.647671921393,0.0381889517749946,0.000061,0.000128,0.197204770795024,-0.18929092374447,1400.06278439669,6.78,12288,90.96,100,586,91.48,6,4.88468082681364,12.645,47695,82.9,-6.2115,106.8452,-6.1389,106.8632,99.7,1.07,10.42,98.13,X4
11,Kota Adm. Jakarta Barat,11684,168556,31.7794914710826,0.325519047619047,38.6495156190476,0.0395103610050651,0.00005,0.000161,0.185198505632037,-0.128559367117523,1435.02294984006,4.09,19760,93.96,43.23,1595,94.48,8,4.74619710956596,12.98,52591,95.7,-6.2115,106.8452,-6.167,106.7663,99.7,0.39,10.82,99.13,X4
12,Kota Adm. Jakarta Selatan,7567,144205,29.772071790061,0.279564006024096,33.6900475301204,0.0382396822488726,0.000054,0.000183,0.264942379939136,-0.231193534586398,1765.72153682444,3.1,15424,94.46,80.65,566,72,10,6.93457231025277,9.837,41121,85.7,-6.333,106.8079,-6.2615,106.8101,99.4,0.52,11.54,99.85,X4
13,Kota Adm. Jakarta Timur,7741,211091,25.6195435121597,0.286,34.38462,0.0375791224470846,0.000067,0.000157,0.244158087954335,-0.234674652094931,1640.56092114401,4.2,16598,94.19,55.38,808,84.4,10,4.73729339479182,10.517,87247,93.3,-6.2115,106.8452,-6.225,106.8852,97.4,0.48,11.72,100,X4
14,Adm. Kep. Seribu,56,2428,1.46013947199794,0.38165,44.707168,0.0339358563002095,0.00009,0.000061,0.607642779918334,-0.489520404365874,1460.64964818954,13.13,2659,82.55,50,80,93.17,2,82.3723228995058,19.576,1741,90.5,-5.7985,106.5072,-5.6907,106.4995,100,10.56,8.74,91.51,X4
15,Bandung,8378,375138,2.42812770550396,0.13024638143891,17.5756894848872,0.0275242150379414,0.000084,0.000058,0.623393965482631,-0.552466918425679,2469.79109121899,6.4,2138,66.67,90.91,8893,97.8,62,16.5272513048532,16.575,220486,97.9,-6.9147,107.6098,-7.0149,107.6109,90.91,3.06,8.93,95.73,"X1, X4"
16,Bandung Barat,2343,170960,1.71604698906577,0.165386925173656,21.368056964741,0.0303682485738979,0.000069,0.000066,0.600804378020222,-0.497845430007152,2301.73533217337,10.52,1449,56.93,38.1,3246,92.6,32,18.7178287318671,18.788,105963,96.3,-6.8937,107.4322,-6.8541,107.4882,99.7,2.1,7.86,92.27,"X1, X4"
17,Bekasi,1789,306028,8.45098738973652,0.278397377835991,33.5641450160602,0.0356590154483887,0.000089,0.000098,0.372359376700703,-0.355168305071234,1604.75361409651,4.93,2588,91.54,100,3148,86.5,51,16.6651417517351,14.96,215985,73.4,-6.2333,107,-6.2349,107.1439,97,0.59,9.17,96.95,X4
18,Bogor,4403,616535,3.56157511424762,0.23533698129519,28.9170670213769,0.0331295016828081,0.000094,0.000092,0.60361371588542,-0.470350103929011,2885.17898107976,7.27,1881,71.49,53.93,9332,85.6,101,16.3818761303089,16.94,334548,77.5,-6.6,106.8,-6.5953,106.7995,97.1,1.4,8.03,91.9,X4
19,Ciamis,4444,126788,1.11658178263863,0.0980912794033276,14.1055108732071,0.029750745724863,0.00009,0.000049,0.695912007985641,-0.384957735383941,2347.0838318615,7.42,784,71.38,28.76,2498,95.1,37,29.1825724832003,17.15,64414,99.5,-7.3333,108.35,-7.3269,108.353,107,5.21,7.89,94.39,"X1, X3, X4"
20,Cianjur,7934,245342,0.848603720649781,0.139427780882413,18.56654611283,0.0300373643867317,0.000074,0.000053,0.681636609458984,-0.573555577846844,2668.00654221706,10.22,704,63.83,85.14,3300,89.1,47,19.1569319562081,21.222,140143,94.3,-6.8173,107.1307,-6.8202,107.1399,100.5,2.81,6.75,85.65,"X1, X4"
21,Cirebon,7531,238007,3.1705286827425,0.227886923572605,28.1130567919555,0.0333400129624616,0.000077,0.000061,0.40744919288145,-0.396120668026993,1803.16299672555,11.2,2202,89.02,47.18,8358,80.3,60,25.209342582361,16.678,181698,98.3,-6.7155,108.564,-6.7155,108.564,123.8,2.94,7.21,98.52,"X1, X3, X4"
22,Garut,2634,262872,0.858804926756894,0.135264367816091,18.1172305747125,0.0276857113542021,0.00008,0.000047,0.696720333540916,-0.58700630962088,2306.23537895876,9.77,865,54.68,55.85,7147,88.5,67,25.4876898262272,16.753,164685,96.7,-7.2279,107.9087,-7.2279,107.9087,96.3,4,7.49,81.13,"X1, X3, X4"
23,Indramayu,4381,178936,2.01188355404107,0.239431642311279,29.3589628382332,0.0338398307800033,0.000084,0.000062,0.352314501999503,-0.362264709737155,1523.09830987592,12.13,912,95.9,100,5564,97.7,49,27.3840926364734,21.096,93118,98.2,-6.3363,108.3251,-6.3363,108.3251,99.4,4.28,6.36,97.77,"X1, X3, X4"
24,Karawang,3599,238205,3.58483721637121,0.298074596357053,35.6877104388532,0.0347320101028178,0.000094,0.000077,0.40699419035943,-0.374376326726374,1550.01035421794,7.87,1320,83.02,56.41,2373,77.8,50,20.9903234608845,19.844,139517,96.9,-6.3227,107.3376,-6.3035,107.3148,99.6,3.4,7.48,98.11,"X1, X4"
25,Kota Bandung,5713,252784,17.4766404061792,0.186314486830154,23.6265594187102,0.0311850823223117,0.000092,0.00008,0.274100503127263,-0.305294002568287,1848.65801506088,3.96,15047,56.01,76.32,3390,96.1,80,31.6475726311792,14.885,89666,94.1,-6.9147,107.6098,-6.9147,107.6098,82.7,1.63,10.71,97.67,"X1, X4"
26,Kota Banjar,410,20627,1.85382363998325,0.1485,19.54562,0.0313350933869289,0.00011,0.00005,0.593599670175584,-0.43626462346691,2163.08568105442,6.14,1584,89.06,3.45,683,86.8,10,48.480147379648,17.112,10042,100,-7.3667,108.5333,-7.3694,108.5314,95.5,4.84,8.52,94.34,"X1, X3, X4"
27,Kota Bekasi,2187,317169,22.6493496746866,0.297125,35.58523,0.036870479581199,0.000091,0.000137,0.255133082746402,-0.261066027317845,1748.15261579285,4.1,12332,98.52,90.91,4859,91.3,48,15.1338876119671,11.568,113665,94.4,-6.2333,107,-6.2383,106.9756,84.3,0.53,11.66,98.77,X4
28,Kota Bogor,3552,111401,14.9087555188658,0.296709709567198,35.540411856492,0.0347582660647291,0.000115,0.000109,0.393416426924745,-0.369064928948259,3366.42746459029,6.67,9614,74.36,100,1581,92,25,22.4414502562814,14.132,62779,93.4,-6.6,106.8,-6.595,106.7984,96.9,2.15,10.24,99.61,X4
29,Kota Cimahi,4994,56075,12.0171900743912,0.201416666666666,25.2563866666666,0.0315729617088177,0.000091,0.000084,0.301123690455568,-0.322364136342521,1770.93302530777,4.66,13924,76.37,28.82,869,89.6,13,23.1832367365136,11.874,26322,99.8,-6.8802,107.5355,-6.8802,107.5355,94.5,1.84,10.98,97.36,"X1, X4"
30,Kota Cirebon,3226,32225,10.1785170297928,0.2364,29.031788,0.0338392798597515,0.000109,0.000068,0.330368903314899,-0.350612874194168,1860.88733546271,9.16,8671,93.27,100,1074,81.4,22,68.2699767261443,11.346,16052,99.5,-6.7155,108.564,-6.7228,108.5553,84.7,7.17,10.12,99.57,"X1, X3, X4"
31,Kota Depok,2173,189332,17.0546521428878,0.283,34.06086,0.037215017880723,0.000109,0.000135,0.310660162508926,-0.293873850598082,2386.78245055897,2.38,10732,97.43,100,2543,100,38,20.0705638772104,13.203,92662,94.8,-6.39,106.83,-6.3974,106.8224,95.5,0.84,11.28,99.56,X4
32,Kota Sukabumi,1444,35754,6.64678807192306,0.2065,25.80498,0.0304631268060397,0.000112,0.000067,0.425856470888186,-0.403550752529363,2866.48625557057,7.5,7465,44.76,100,961,72.4,15,41.9533478771606,15.271,19085,98.5,-6.9241,106.9222,-6.9221,106.9259,96.9,4.87,10.09,98.74,X4
33,Kota Tasikmalaya,1711,69158,5.74555636916449,0.157619547657512,20.5298015831987,0.0296769670545419,0.000101,0.00005,0.547435181090372,-0.387019788212785,2481.07064301589,11.53,4033,56.25,78.95,1786,43.6,22,31.8112148992163,15.253,38802,100,-7.328,108.2141,-7.3284,108.2141,99.5,4.49,9.31,95.84,"X1, X3, X4"
34,Kuningan,1969,110611,1.48739191521004,0.17326729865964,22.2185068713484,0.0300646364497943,0.000086,0.000052,0.64917995496877,-0.550434944465113,2277.73042986249,12.12,1007,83.03,45.74,2299,72,37,33.4505609749483,18.814,62351,101.3,-6.9833,108.4833,-6.9833,108.4833,98.4,7.03,7.63,96.57,"X1, X3, X4"
35,Majalengka,4573,123327,1.55789695304239,0.204847883597883,25.6266835978835,0.0313391793968491,0.000074,0.00006,0.523765145831019,-0.48228243429151,2170.59282783944,11.21,1008,82.67,100,1930,88.2,32,25.9472783737543,18.586,70422,98.9,-6.8531,108.2259,-6.8531,108.2259,99.1,5.39,7.2,93.38,"X1, X3, X4"
36,Pangandaran,579,42762,0.717435320584158,0.10600399122807,14.9594507333333,0.0299255112000315,0.000087,0.000044,0.716910915613617,-0.477443653646423,2098.99094455998,8.98,382,86.91,25,340,81.6,15,35.0778728777887,17.023,21023,99.6,-7.6151,108.4988,-7.6151,108.4988,102.6,6.18,7.77,82.95,"X1, X3, X4"
37,Purwakarta,3797,96537,2.06131596852269,0.22154490533134,27.4286261833582,0.0329336766602407,0.000102,0.000079,0.552977857209848,-0.462823267016204,2343.32088992026,8.46,1044,77.33,39.09,854,83.1,20,20.7174451246672,21.527,61585,98.9,-6.5387,107.4499,-6.5387,107.4499,100.9,2.93,7.69,85.4,"X1, X4"
38,Subang,3896,160219,1.68559425702768,0.22784974817211,28.1090448227341,0.0328410256180885,0.000085,0.000069,0.527704550101972,-0.480420524647477,1901.15989701718,9.52,762,89.4,100,1894,85,40,24.9658280228937,21.826,75610,99.6,-6.5694,107.7524,-6.5694,107.7524,103.2,2.08,7.12,99.22,"X1, X4"
39,Sukabumi,4075,255148,0.797694143818268,0.139434106950863,18.5672288221371,0.0301068538442519,0.000086,0.000057,0.675980855652583,-0.566972735101833,2665.65975598773,7.01,673,53.21,75.13,6871,82.1,58,22.7319046200637,18.383,167311,98.5,-6.9241,106.9222,-6.9241,106.9222,101.7,5.21,7.08,85.72,X4
40,Sumedang,7047,118762,1.23698106944558,0.166458859427609,21.4837401094276,0.0302560497753239,0.000064,0.000059,0.645107594803731,-0.568442378693162,2334.09061473913,9.36,752,72.55,51.57,2665,90.6,35,29.4707061181186,18.955,61149,98.5,-6.096,110.0331,-6.8493,107.842,99,3.86,8.48,95.42,"X1, X3, X4"
41,Tasikmalaya,3794,179103,0.903719786456785,0.09514329580348,13.7873644831116,0.0286891572423034,0.000081,0.000045,0.736613822050912,-0.471605743496694,2310.89278266366,10.28,705,51.33,62.53,3527,83.4,40,22.3335175848534,16.85,85525,96,-7.328,108.2141,-7.3491,108.2166,95.4,4.97,7.83,89.03,"X1, X3, X4"
42,Cilacap,1514,201321,1.59095896021726,0.131294777350192,17.6888323716327,0.0305422995646188,0.000114,0.000052,0.599302361779102,-0.420731539702472,2184.73145482498,10.99,864,80.38,99.4,4265,92.28,38,18.8753284555511,14.416,93782,98,-7.7333,109,-7.7333,109,90.8,5.5,6.97,88.75,"X3, X4"
43,Banyumas,824,182207,1.70293637587272,0.130101212881639,17.5600228941865,0.029943182681562,0.000127,0.00005,0.636251349845407,-0.458815423289079,2292.3457168395,12.53,1314,83,100,4041,81.11,40,21.9530533953141,14.003,85882,94.7,-7.4832,109.1404,-7.4832,109.1404,94.5,8.3,7.54,93.57,"X3, X4"
44,Purbalingga,2627,103176,1.31073314251379,0.125280890095426,17.0398136590984,0.0292538660159025,0.000136,0.00005,0.661274409609855,-0.510708681239202,2892.30885618716,14.99,1275,77.19,75.58,3324,77.95,22,21.3227882453284,14.641,48388,86.3,-7.3907,109.3638,-7.3907,109.3638,102,5.1,7.11,82.82,"X3, X4"
45,Banjarnegara,3173,105043,1.06660687543052,0.104789250839182,14.8283559505645,0.028007392801053,0.000105,0.000049,0.695585635914799,-0.539719376540621,2537.56005583364,14.9,915,46.09,100,2265,66.87,35,33.3196881277191,12.955,52558,97.9,-7.4027,109.6814,-7.4027,109.6814,87.8,7.7,6.61,87.56,X4
46,Kebumen,4643,139154,1.06617109498989,0.143928571428571,19.0522714285714,0.0305542939123147,0.000114,0.000047,0.610393765300422,-0.484867915146992,2348.81572469142,16.34,1048,93.68,100,3234,93.18,35,25.1519898817138,10.943,141778,98.7,-7.6787,109.6565,-7.6787,109.6565,88.4,6.4,7.43,87.34,X4
47,Purworejo,195,78275,0.948907690505804,0.13925,18.54736,0.0303082402158223,0.000114,0.000048,0.650792101114248,-0.537192683153197,2063.52693234311,11.33,729,81.43,86.81,1667,87.69,27,34.493771957841,10.375,13963,99.9,-7.7097,110.008,-7.7097,110.008,107.2,6.9,8.01,91.26,Tidak Ada Variabel yang Signifikan
48,Wonosobo,1700,90595,1.03081564304549,0.0809023624953857,12.250482960502,0.0274572360356324,0.000103,0.000049,0.704237328134037,-0.56144257764816,2482.96433275877,15.58,899,58.14,100,1506,95.04,24,26.4915282300348,8.7,43600,97.2,-7.3621,109.8994,-7.3621,109.8994,95.1,7,6.71,94.61,Tidak Ada Variabel yang Signifikan
49,Magelang,617,131933,1.501989346456,0.131135416666666,17.6716341666666,0.02923858908117,0.000117,0.000055,0.628323433117918,-0.511085714017982,2250.62250633508,10.96,1178,85.14,99.55,3685,92.11,29,21.9808539182767,10.811,64004,99.8,-7.4813,110.2138,-7.4813,110.2138,90.8,6.1,7.38,97.5,Tidak Ada Variabel yang Signifikan
50,Boyolali,823,108946,2.15312061764152,0.177329695647245,22.6569207542507,0.0303945474899111,0.000109,0.000059,0.518396737462658,-0.484358564370027,2172.87609992263,9.81,994,89.31,98.98,2666,94.36,25,22.9471481284306,13.634,48822,99.7,-7.5238,110.5959,-7.5238,110.5959,100.5,4.5,7.52,94.36,X1
51,Klaten,2656,128415,3.64795508278427,0.17027737625337,21.8958344452637,0.0305402209174836,0.000089,0.000058,0.526607974329809,-0.478834779312086,1775.6359655436,12.28,1839,97.16,87.06,4049,90.39,34,26.4766577113266,11.562,57441,98.7,-7.7117,110.5955,-7.7117,110.5969,86,7.2,8.68,99.52,X1
52,Sukoharjo,1306,92144,4.38334768985534,0.176537566293459,22.5714341543901,0.0310878148137717,0.00011,0.000059,0.466345742464368,-0.440868730680234,1910.81001797039,7.58,1890,95.68,92.13,2222,95.98,12,13.0230942872026,11.571,41104,99.9,-7.6809,110.8195,-7.6809,110.8195,82.6,4.6,9.47,99.71,X1
53,Wonogiri,331,106466,1.06558594412787,0.135247132160377,18.1153705027479,0.0283123276183814,0.000108,0.000048,0.556562943174937,-0.511310077583836,2000.07923095363,10.94,552,96.12,92.93,2423,83.48,34,31.935077865234,13.098,38767,97.8,-7.8178,110.9206,-7.8178,110.9206,82.3,7.6,7.32,96.57,X1
54,Karanganyar,2871,95631,2.58325402720519,0.159541344371928,20.7372018846185,0.0293011661694372,0.000102,0.000057,0.571296898589714,-0.491345607301143,2442.83199150022,9.79,1189,97.03,92.26,1789,66.76,21,21.9594064686137,12.107,47440,100,-7.5961,110.9508,-7.5961,110.9508,94.4,4.8,8.6,98.48,X1
55,Sragen,282,100066,2.20337581390541,0.183272214353163,23.2982373729934,0.032046708369711,0.000117,0.00006,0.497560261316395,-0.454962181049674,2060.0088281571,12.87,1003,95.3,99.4,2786,86.62,25,24.9835108828173,13.614,30223,64.8,-7.4302,111.0213,-7.4302,111.0213,88.6,5.8,7.38,98.14,X1
56,Grobogan,1411,147910,1.30768610950282,0.185788199198891,23.5697624575443,0.0319325731741988,0.000108,0.000059,0.452839258050247,-0.446009622712414,1931.17093829959,11.72,738,90.49,97.47,3843,96.2,30,20.2826042863904,15.517,28866,83.9,-7.0217,110.9626,-7.0217,110.9626,100.8,5.5,6.77,82.18,X1
57,Blora,518,89008,0.973553813662205,0.165853260264207,21.4183838477132,0.0313627245088965,0.000125,0.000058,0.495662118585883,-0.476908125139143,1741.17759234584,11.49,461,90.72,76.72,2974,88.2,26,29.2108574510156,15.893,33000,91.8,-6.95,111.4167,-6.9688,111.4175,95.9,8.1,6.82,93.54,X1
58,Rembang,465,65362,1.42075056236678,0.170610023416754,21.9317337271361,0.0317742173058388,0.000106,0.000062,0.477872230543252,-0.463904045067914,1533.10750757855,14.17,636,95.44,98.34,2758,80.8,17,26.0089960527524,15.833,34452,100,-6.7112,111.3453,-6.7112,111.3453,101.1,5.6,7.24,95.34,X1
